termino_busqueda,total_coincidencias,siglas_coincidentes,ids_coincidentes
sedación,2,SAS; UKU,sas_209; uku_210
SEMCD-S,1,SEMCD-S,semcds_new1
Sensibilidad al rechazo,1,RSQ,rsq_71
Sensibilización central y carga de síntomas,1,CSI,csi_new1
Sentido de vida y Propósito vital,1,MLQ,mlq_90
Severidad de dependencia alcohólica,1,SADQ,sadq_198
Severidad de manía,2,YMRS; MAS,ymrs_182; mas_184
Severidad de manía (heteroaplicada),1,EVMAC,evmac_183
Severidad depresiva (heteroaplicada),1,MADRS,madrs_178
sexualidad,6,PRSexDQ-SALSEX; SIS/SES-SF; CSFQ; IIEF; MGH-SFQ; ASEX,prsexdq_new1; sisses_new1; csfq_204; iief_205; mghsfq_206; asex_207
sexualidad humana,6,PRSexDQ-SALSEX; SIS/SES-SF; CSFQ; IIEF; MGH-SFQ; ASEX,prsexdq_new1; sisses_new1; csfq_204; iief_205; mghsfq_206; asex_207
SF-36,1,SF-36,sf-36_113
SHAI,1,SHAI,shai_24
SHAPS,1,SHAPS,shaps_16
SIAS,1,SIAS,sias_152
"Sintomatologia limite (TLP): afecto negativo, autoimagen, autodestruccion, impulsividad, disociacion",1,BSL-23,bsl23_149
"Sintomatologia obsesivo-compulsiva (perdida de control mental, contaminacion, comprobacion, impulsos)",1,IP,ip_148
SIPS,1,SIPS,sips_174
SIS,1,SIS,sis_new
SIS/SES-SF,1,SIS/SES-SF,sisses_new1
sobrecarga,4,DASS-21; PSS; TICS; PSS-14,dass-21_5; pss_6; tics_8; pss14_155
Sobrecarga familiar y dinámica de cuidados,1,ZBI,zbi_new
Social cognition,3,RMET; MAIA; Faux Pas Test,rmet_132; maia_133; faux_pas_test_134
SOGS,1,SOGS,sogs_42
Soledad y aislamiento social,2,UCLA-R; DJGLS,ucla-r_74; djgls_75
somatización,7,PHQ-15; WI; SHAI; SCL-90-R; BPI; PCS; FSS,phq-15_22; wi-7_23; shai_24; scl-90-r_25; bpi_138; pcs_139; fss_140
Somatización y ansiedad por la salud,4,PHQ-15; WI; SHAI; SCL-90-R,phq-15_22; wi-7_23; shai_24; scl-90-r_25
somnolencia diurna,6,PSQI; ISI; ESS; MEQ-SA; STOP-Bang; COS,psqi_135; isi_136; ess_137; meqsa_new1; stopbang_new1; cos_203
SOPS,1,SOPS,sops_175
SPIN,1,SPIN,spin_188
SRP-IV,1,SRP-IV,srp-iv_33
SSEIT,1,SSEIT,sseit_new
SSS-V,1,SSS-V,sss-v_new
STAI,1,STAI,stai_0
STAXI-2,1,STAXI-2,staxi-2_30
STOP-Bang,1,STOP-Bang,stopbang_new1
Stroop Test,1,Stroop Test,stroop_test_126
sueño,6,PSQI; ISI; ESS; MEQ-SA; STOP-Bang; COS,psqi_135; isi_136; ess_137; meqsa_new1; stopbang_new1; cos_203
Sueño y ritmos circadianos,6,PSQI; ISI; ESS; MEQ-SA; STOP-Bang; COS,psqi_135; isi_136; ess_137; meqsa_new1; stopbang_new1; cos_203
Suicidio y autolesión,5,C-SSRS; BSS; ISAS; ERS; RFL,c-ssrs_46; bss_47; isas_48; ers_147; rfl_185
SUMD,1,SUMD,sumd_176
Sustancias y alcoholismo,11,ASSIST; AUDIT; DAST-10; FTND; MALT; ISCA; EuropASI; SADQ; EIDA; OCDS; BWSQ,assist_38; audit_39; dast-10_40; ftnd_new1; malt_195; isca_196; europasi_197; sadq_198; eida_199; ocds_200; bwsq_208
SWBS,1,SWBS,swbs_new
SWLS,1,SWLS,swls_110
Síntomas bulímicos,1,BITE,bite_202
Síntomas disejecutivos conductuales,1,DEX-Sp,dex-sp_new1
síntomas positivos,8,PDI-21; CAPE-42; PANSS; BPRS; SIPS; SOPS; SUMD; DAI,pdi-21_43; cape-42_44; panss_45; bprs_173; sips_174; sops_175; sumd_176; dai_193
Síntomas prodrómicos de psicosis,1,SOPS,sops_175
Síntomas somatomorfos y somatización,1,Othmer-DeSouza,othmer-desouza_new
Tabaco,1,FTND,ftnd_new1
TAG,14,STAI; BAI; GAD-7; ISRA; HADS; DASS-21; PSWQ; IUS-12; CSI; SIAS; SADS; SPIN; BSPS; BSA,stai_0; bai_1; gad-7_2; isra_3; hads_4; dass-21_5; pswq_52; ius-12_53; csi_new1; sias_152; sads_153; spin_188; bsps_189; bsa_190
TAS-20,1,TAS-20,tas-20_62
TAVEC,1,TAVEC,tavec_123
TCI-R,1,TCI-R,tci-r_79
TDAH,9,BIS-11; UPPS-P; DII; CBCL; SDQ; DBD; BIS/BAS; CUBI-18; EI-Plutchik,bis-11_26; upps-p_27; dii_28; cbcl_35; sdq_36; dbd_37; bis_68; cubi18_150; eiplutchik_187
temblor,2,SAS; UKU,sas_209; uku_210
tensión,4,DASS-21; PSS; TICS; PSS-14,dass-21_5; pss_6; tics_8; pss14_155
TEPT,13,PSS; TICS; PCL-5; CAPS-5; IES-R; DTS; JVQ; ACEQ; CTQ-SF; EGS-R; TQ; DGRP; TOP-8,pss_6; tics_8; pcl-5_9; caps-5_10; ies-r_11; dts_12; jvq_50; aceq_93; ctq-sf_94; egsr_151; tq_191; dgrp_192; top-8_220
Test de Actitudes hacia la Alimentación (40 ítems),1,EAT-40,eat-40_new
Test de Actitudes hacia la Alimentación (Formato SERGAS),1,EAT-40-SERGAS,eat-40-sergas_new
Test de Actitudes hacia la Alimentación - Versión Abreviada (26 ítems),1,EAT-26,eat-26_new
Test de Detección de Somatización de Othmer y DeSouza,1,Othmer-DeSouza,othmer-desouza_new
TFV,1,TFV,tfv_131
TICS,1,TICS,tics_8
TLP,6,PID-5; SD3; SD4; LTS; BSL-23; NPI-N,pid-5_80; sd3_81; sd4_82; lts_83; bsl23_149; npi-n_218
TMMS-24,1,TMMS-24,tmms24_163
TMT,1,TMT,tmt_122
TOC,5,Y-BOCS; OCI-R; PI-WSUR; DOCS; IP,y-bocs_18; oci-r_19; pi-wsur_20; docs_21; ip_148
tolerancia a la frustración,12,PSS; TICS; Brief COPE; CD-RISC; LOT-R; VIA-IS; BIPQ; MAC; PSS-14; CAE; RS-14; COPE-48,pss_6; tics_8; brief_cope_66; cd-risc_115; lot-r_116; via-is_118; bipq_143; mac_144; pss14_155; cae_156; rs14_162; cope48_167
TOP-8,1,TOP-8,top-8_220
TQ,1,TQ,tq_191
Trastorno bipolar y ciclotimia,1,BSDS,bsds_new
trastorno de déficit de atención e hiperactividad,9,BIS-11; UPPS-P; DII; CBCL; SDQ; DBD; BIS/BAS; CUBI-18; EI-Plutchik,bis-11_26; upps-p_27; dii_28; cbcl_35; sdq_36; dbd_37; bis_68; cubi18_150; eiplutchik_187
trastorno de personalidad,5,NEO-PI-R; BFI-2; HEXACO-PI-R; TCI-R; FMPS,neo-pi-r_76; bfi-2_77; hexaco-pi-r_78; tci-r_79; fmps_159
Trastorno de Pánico: Diario del Paciente (Autorregistro TCC),1,Diario-Panico,diario-panico_new
Trastornos de la conducta alimentaria,3,EAT-40; EAT-26; EAT-40-SERGAS,eat-40_new; eat-26_new; eat-40-sergas_new
Trauma acumulado y Adversidad temprana,2,ACEQ; CTQ-SF,aceq_93; ctq-sf_94
trauma complejo,13,PSS; TICS; PCL-5; CAPS-5; IES-R; DTS; JVQ; ACEQ; CTQ-SF; EGS-R; TQ; DGRP; TOP-8,pss_6; tics_8; pcl-5_9; caps-5_10; ies-r_11; dts_12; jvq_50; aceq_93; ctq-sf_94; egsr_151; tq_191; dgrp_192; top-8_220
Trauma y estrés postraumático,11,PCL-5; CAPS-5; IES-R; DTS; JVQ; ACEQ; CTQ-SF; EGS-R; TQ; DGRP; TOP-8,pcl-5_9; caps-5_10; ies-r_11; dts_12; jvq_50; aceq_93; ctq-sf_94; egsr_151; tq_191; dgrp_192; top-8_220
tríada oscura,6,PID-5; SD3; SD4; LTS; BSL-23; NPI-N,pid-5_80; sd3_81; sd4_82; lts_83; bsl23_149; npi-n_218
TSI,1,TSI,tsi_new
UCLA-R,1,UCLA-R,ucla-r_74
UKU,1,UKU,uku_210
UPPS-P,1,UPPS-P,upps-p_27
uso de internet,2,IAT; SOGS,iat_41; sogs_42
Uso problemático de sustancias,3,ASSIST; AUDIT; DAST-10,assist_38; audit_39; dast-10_40
UWES,1,UWES,uwes_106
valores morales,8,SCCS; EOM-EIS-2; PVQ; IMI; AGQ-R; MEIM; VIA; VQ,sccs_87; eom-eis-2_88; pvq_89; imi_91; agq-r_92; meim_95; via_96; vq_165
Valores personales,1,PVQ,pvq_89
valores éticos,8,SCCS; EOM-EIS-2; PVQ; IMI; AGQ-R; MEIM; VIA; VQ,sccs_87; eom-eis-2_88; pvq_89; imi_91; agq-r_92; meim_95; via_96; vq_165
valía personal,3,RSES; AF-5; GSE,rses_84; af-5_85; gse_86
VIA,1,VIA,via_96
VIA-IS,1,VIA-IS,via-is_118
Vida diaria,4,SF-36; WHOQOL-BREF; QLS; CSCV,sf-36_113; whoqol-bref_114; qls_214; cscv_215
Vida valiosa (Progreso vs Obstruccion) segun valores personales,1,VQ,vq_165
vigilancia,2,d2-R; TMT,d2-r_121; tmt_122
VQ,1,VQ,vq_165
Vulnerabilidad y victimización,1,JVQ,jvq_50
WCST,1,WCST,wcst_125
WHODAS 2.0,1,WHODAS 2.0,whodas_2.0_100
WHOQOL-BREF,1,WHOQOL-BREF,whoqol-bref_114
WI,1,WI,wi-7_23
Y-BOCS,1,Y-BOCS,y-bocs_18
YMRS,1,YMRS,ymrs_182
YSQ-S3,1,YSQ-S3,ysq-s3_58
ZBI,1,ZBI,zbi_new
ánimo bajo,12,DASS-21; BDI-II; PHQ-9; CES-D; SHAPS; HDRS / HAM-D; BADS; EROS; MADRS; GDS; CDS; QLDS,dass-21_5; bdi-ii_13; phq-9_14; ces-d_15; shaps_16; hdrs_17; bads_64; eros_65; madrs_178; gds_179; cds_180; qlds_216
Índice de Katz de Actividades Básicas de la Vida Diaria (ABVD),1,KATZ,katz_new
